primary_type,location_description,f0_
PUBLIC INDECENCY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1
ROBBERY,AIRCRAFT,1
OBSCENITY,COLLEGE/UNIVERSITY RESIDENCE HALL,1
OTHER NARCOTIC VIOLATION,MOVIE HOUSE / THEATER,1
CONCEALED CARRY LICENSE VIOLATION,RESIDENCE,1
INTERFERENCE WITH PUBLIC OFFICER,SCHOOL - PRIVATE BUILDING,1
HUMAN TRAFFICKING,SMALL RETAIL STORE,1
CONCEALED CARRY LICENSE VIOLATION,"SCHOOL, PUBLIC, BUILDING",1
PUBLIC PEACE VIOLATION,COIN OPERATED MACHINE,1
INTERFERENCE WITH PUBLIC OFFICER,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,1
PROSTITUTION,SAVINGS AND LOAN,1
ARSON,SPORTS ARENA / STADIUM,1
NON-CRIMINAL (SUBJECT SPECIFIED),SIDEWALK,1
INTERFERENCE WITH PUBLIC OFFICER,CLEANING STORE,1
MOTOR VEHICLE THEFT,SCHOOL - PRIVATE BUILDING,1
ROBBERY,GOVERNMENT BUILDING / PROPERTY,1
OFFENSE INVOLVING CHILDREN,CHA HALLWAY / STAIRWELL / ELEVATOR,1
CONCEALED CARRY LICENSE VIOLATION,SCHOOL - PUBLIC BUILDING,1
OFFENSE INVOLVING CHILDREN,CONSTRUCTION SITE,1
KIDNAPPING,FACTORY/MANUFACTURING BUILDING,1
INTIMIDATION,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,1
OBSCENITY,GAS STATION,1
HUMAN TRAFFICKING,CHA APARTMENT,1
OFFENSE INVOLVING CHILDREN,CEMETARY,1
GAMBLING,OTHER (SPECIFY),1
GAMBLING,MEDICAL/DENTAL OFFICE,1
THEFT,FARM,1
PUBLIC INDECENCY,MEDICAL/DENTAL OFFICE,1
LIQUOR LAW VIOLATION,BANK,1
ARSON,TAXICAB,1
ARSON,COLLEGE / UNIVERSITY - GROUNDS,1
NARCOTICS,HORSE STABLE,1
KIDNAPPING,NURSING / RETIREMENT HOME,1
CRIMINAL SEXUAL ASSAULT,SPORTS ARENA / STADIUM,1
CONCEALED CARRY LICENSE VIOLATION,WAREHOUSE,1
PUBLIC INDECENCY,SPORTS ARENA/STADIUM,1
OBSCENITY,,1
PUBLIC PEACE VIOLATION,POOL ROOM,1
INTIMIDATION,MOVIE HOUSE/THEATER,1
CRIMINAL SEXUAL ASSAULT,POOL ROOM,1
HOMICIDE,CLEANERS/LAUNDROMAT,1
ARSON,HOSPITAL BUILDING / GROUNDS,1
CRIMINAL DAMAGE,VEHICLE-COMMERCIAL - TROLLEY BUS,1
GAMBLING,"SCHOOL, PRIVATE, BUILDING",1
STALKING,APPLIANCE STORE,1
STALKING,LAKEFRONT / WATERFRONT / RIVERBANK,1
KIDNAPPING,RESIDENCE - YARD (FRONT / BACK),1
OFFENSE INVOLVING CHILDREN,COIN OPERATED MACHINE,1
ARSON,,1
PROSTITUTION,DEPARTMENT STORE,1
KIDNAPPING,HOTEL / MOTEL,1
OTHER OFFENSE,VEHICLE-COMMERCIAL - TROLLEY BUS,1
ROBBERY,FIRE STATION,1
PUBLIC PEACE VIOLATION,CHA HALLWAY / STAIRWELL / ELEVATOR,1
STALKING,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,1
PROSTITUTION,CONSTRUCTION SITE,1
DECEPTIVE PRACTICE,VEHICLE-COMMERCIAL - TROLLEY BUS,1
SEX OFFENSE,CEMETARY,1
CONCEALED CARRY LICENSE VIOLATION,NURSING / RETIREMENT HOME,1
CONCEALED CARRY LICENSE VIOLATION,CHA HALLWAY / STAIRWELL / ELEVATOR,1
OTHER NARCOTIC VIOLATION,RESTAURANT,1
HOMICIDE,SIDEWALK,1
INTERFERENCE WITH PUBLIC OFFICER,VEHICLE - COMMERCIAL,1
INTERFERENCE WITH PUBLIC OFFICER,SCHOOL - PUBLIC GROUNDS,1
RITUALISM,ALLEY,1
BURGLARY,CTA TRACKS - RIGHT OF WAY,1
KIDNAPPING,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,1
RITUALISM,OTHER,1
ARSON,FOREST PRESERVE,1
LIQUOR LAW VIOLATION,SAVINGS AND LOAN,1
OBSCENITY,HOSPITAL BUILDING/GROUNDS,1
RITUALISM,"SCHOOL, PUBLIC, GROUNDS",1
HOMICIDE,LOADING DOCK,1
CONCEALED CARRY LICENSE VIOLATION,ABANDONED BUILDING,1
PUBLIC INDECENCY,RESIDENCE,1
DOMESTIC VIOLENCE,APARTMENT,1
CRIMINAL SEXUAL ASSAULT,BOWLING ALLEY,1
BURGLARY,KENNEL,1
CRIM SEXUAL ASSAULT,CURRENCY EXCHANGE,1
BATTERY,HORSE STABLE,1
OTHER OFFENSE,VEHICLE - COMMERCIAL: ENTERTAINMENT / PARTY BUS,1
GAMBLING,BOAT/WATERCRAFT,1
LIQUOR LAW VIOLATION,ANIMAL HOSPITAL,1
INTIMIDATION,TAXICAB,1
ARSON,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,1
CONCEALED CARRY LICENSE VIOLATION,"SCHOOL, PUBLIC, GROUNDS",1
HOMICIDE,TRUCKING TERMINAL,1
RITUALISM,SIDEWALK,1
NON-CRIMINAL (SUBJECT SPECIFIED),JAIL / LOCK-UP FACILITY,1
OBSCENITY,NURSING HOME/RETIREMENT HOME,1
INTERFERENCE WITH PUBLIC OFFICER,CTA PARKING LOT / GARAGE / OTHER PROPERTY,1
KIDNAPPING,COLLEGE/UNIVERSITY GROUNDS,1
GAMBLING,CHA PARKING LOT / GROUNDS,1
RITUALISM,GOVERNMENT BUILDING/PROPERTY,1
ARSON,AIRPORT EXTERIOR - NON-SECURE AREA,1
KIDNAPPING,FIRE STATION,1
INTERFERENCE WITH PUBLIC OFFICER,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,1
INTERFERENCE WITH PUBLIC OFFICER,VEHICLE - OTHER RIDE SERVICE,1
KIDNAPPING,AUTO / BOAT / RV DEALERSHIP,1
PROSTITUTION,NURSING HOME/RETIREMENT HOME,1
OBSCENITY,CONVENIENCE STORE,1
OFFENSE INVOLVING CHILDREN,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,1
OBSCENITY,CHA HALLWAY/STAIRWELL/ELEVATOR,1
CONCEALED CARRY LICENSE VIOLATION,GOVERNMENT BUILDING / PROPERTY,1
OBSCENITY,SPORTS ARENA / STADIUM,1
ARSON,SAVINGS AND LOAN,1
STALKING,JAIL / LOCK-UP FACILITY,1
HOMICIDE,JUNK YARD/GARBAGE DUMP,1
MOTOR VEHICLE THEFT,AIRCRAFT,1
OTHER NARCOTIC VIOLATION,POLICE FACILITY / VEHICLE PARKING LOT,1
OBSCENITY,DEPARTMENT STORE,1
KIDNAPPING,CURRENCY EXCHANGE,1
INTIMIDATION,CTA STATION,1
OFFENSE INVOLVING CHILDREN,HIGHWAY / EXPRESSWAY,1
NARCOTICS,MOVIE HOUSE / THEATER,1
BURGLARY,AIRPORT EXTERIOR - SECURE AREA,1
WEAPONS VIOLATION,COLLEGE/UNIVERSITY RESIDENCE HALL,1
INTIMIDATION,VEHICLE-COMMERCIAL,1
PROSTITUTION,CLEANING STORE,1
SEX OFFENSE,AIRPORT VENDING ESTABLISHMENT,1
NARCOTICS,AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,1
SEX OFFENSE,ANIMAL HOSPITAL,1
KIDNAPPING,CAR WASH,1
CONCEALED CARRY LICENSE VIOLATION,OTHER (SPECIFY),1
CONCEALED CARRY LICENSE VIOLATION,SPORTS ARENA/STADIUM,1
LIQUOR LAW VIOLATION,POLICE FACILITY/VEH PARKING LOT,1
BURGLARY,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,1
NON-CRIMINAL,RESIDENCE-GARAGE,1
STALKING,ANIMAL HOSPITAL,1
ARSON,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,1
CRIMINAL SEXUAL ASSAULT,APPLIANCE STORE,1
NON - CRIMINAL,RESIDENCE PORCH/HALLWAY,1
OBSCENITY,MEDICAL/DENTAL OFFICE,1
INTIMIDATION,BOWLING ALLEY,1
CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,1
OBSCENITY,TAXICAB,1
NARCOTICS,,1
GAMBLING,OTHER COMMERCIAL TRANSPORTATION,1
OBSCENITY,POOL ROOM,1
STALKING,PAWN SHOP,1
GAMBLING,WAREHOUSE,1
INTIMIDATION,FACTORY / MANUFACTURING BUILDING,1
MOTOR VEHICLE THEFT,AIRPORT TRANSPORTATION SYSTEM (ATS),1
OFFENSE INVOLVING CHILDREN,AIRPORT VENDING ESTABLISHMENT,1
INTERFERENCE WITH PUBLIC OFFICER,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",1
PROSTITUTION,CTA BUS,1
PUBLIC INDECENCY,NURSING HOME/RETIREMENT HOME,1
BURGLARY,CTA BUS,1
NON-CRIMINAL,FEDERAL BUILDING,1
PUBLIC INDECENCY,BANK,1
KIDNAPPING,CONSTRUCTION SITE,1
PUBLIC INDECENCY,VEHICLE-COMMERCIAL,1
OBSCENITY,CHA HALLWAY / STAIRWELL / ELEVATOR,1
HOMICIDE,EXPRESSWAY EMBANKMENT,1
NON - CRIMINAL,PARKING LOT/GARAGE(NON.RESID.),1
NARCOTICS,COLLEGE / UNIVERSITY - RESIDENCE HALL,1
NON-CRIMINAL,RESIDENCE PORCH/HALLWAY,1
CONCEALED CARRY LICENSE VIOLATION,GOVERNMENT BUILDING/PROPERTY,1
WEAPONS VIOLATION,DELIVERY TRUCK,1
OBSCENITY,POLICE FACILITY/VEH PARKING LOT,1
ARSON,FEDERAL BUILDING,1
INTERFERENCE WITH PUBLIC OFFICER,SCHOOL - PUBLIC BUILDING,1
GAMBLING,NEWSSTAND,1
RITUALISM,VEHICLE NON-COMMERCIAL,1
ARSON,SPORTS ARENA/STADIUM,1
CRIM SEXUAL ASSAULT,ANIMAL HOSPITAL,1
WEAPONS VIOLATION,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,1
PUBLIC PEACE VIOLATION,AIRPORT VENDING ESTABLISHMENT,1
CRIMINAL SEXUAL ASSAULT,FACTORY / MANUFACTURING BUILDING,1
ARSON,ATM (AUTOMATIC TELLER MACHINE),1
NON-CRIMINAL,NURSING HOME/RETIREMENT HOME,1
CONCEALED CARRY LICENSE VIOLATION,LAKEFRONT / WATERFRONT / RIVERBANK,1
SEX OFFENSE,CHA PARKING LOT / GROUNDS,1
SEX OFFENSE,DELIVERY TRUCK,1
CONCEALED CARRY LICENSE VIOLATION,POLICE FACILITY / VEHICLE PARKING LOT,1
KIDNAPPING,RESIDENCE - GARAGE,1
PROSTITUTION,VEHICLE - OTHER RIDE SERVICE,1
INTERFERENCE WITH PUBLIC OFFICER,MOVIE HOUSE/THEATER,1
KIDNAPPING,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,1
PROSTITUTION,GROCERY FOOD STORE,1
GAMBLING,LIBRARY,1
LIQUOR LAW VIOLATION,BOAT/WATERCRAFT,1
INTERFERENCE WITH PUBLIC OFFICER,HOTEL / MOTEL,1
SEX OFFENSE,AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,1
STALKING,TAVERN / LIQUOR STORE,1
NON-CRIMINAL,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1
WEAPONS VIOLATION,VEHICLE-COMMERCIAL - ENTERTAINMENT/PARTY BUS,1
SEX OFFENSE,VEHICLE - COMMERCIAL: TROLLEY BUS,1
GAMBLING,HOTEL/MOTEL,1
CRIM SEXUAL ASSAULT,HIGHWAY/EXPRESSWAY,1
HOMICIDE,LIVERY AUTO,1
STALKING,FIRE STATION,1
CRIMINAL SEXUAL ASSAULT,CTA TRACKS - RIGHT OF WAY,1
PUBLIC PEACE VIOLATION,ATM (AUTOMATIC TELLER MACHINE),1
PUBLIC INDECENCY,HOSPITAL BUILDING/GROUNDS,1
KIDNAPPING,VACANT LOT / LAND,1
PUBLIC INDECENCY,CLEANING STORE,1
LIQUOR LAW VIOLATION,FIRE STATION,1
PUBLIC PEACE VIOLATION,MOVIE HOUSE / THEATER,1
PROSTITUTION,"SCHOOL, PRIVATE, BUILDING",1
CONCEALED CARRY LICENSE VIOLATION,CHA APARTMENT,1
PROSTITUTION,RESIDENCE - PORCH / HALLWAY,1
GAMBLING,COLLEGE/UNIVERSITY GROUNDS,1
HUMAN TRAFFICKING,PARKING LOT/GARAGE(NON.RESID.),1
INTIMIDATION,OTHER RAILROAD PROP / TRAIN DEPOT,1
KIDNAPPING,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,1
KIDNAPPING,MOVIE HOUSE/THEATER,1
NARCOTICS,VEHICLE - DELIVERY TRUCK,1
HOMICIDE,POLICE FACILITY,1
KIDNAPPING,NEWSSTAND,1
PUBLIC INDECENCY,ATHLETIC CLUB,1
OFFENSE INVOLVING CHILDREN,AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,1
INTIMIDATION,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,1
HOMICIDE,POOLROOM,1
INTIMIDATION,CTA PARKING LOT / GARAGE / OTHER PROPERTY,1
INTERFERENCE WITH PUBLIC OFFICER,OTHER RAILROAD PROPERTY / TRAIN DEPOT,1
WEAPONS VIOLATION,SPORTS ARENA / STADIUM,1
HUMAN TRAFFICKING,"SCHOOL, PUBLIC, BUILDING",1
CRIM SEXUAL ASSAULT,VEHICLE - DELIVERY TRUCK,1
OBSCENITY,MOVIE HOUSE/THEATER,1
STALKING,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,1
LIQUOR LAW VIOLATION,LIBRARY,1
ASSAULT,KENNEL,1
HOMICIDE,ROOF,1
INTERFERENCE WITH PUBLIC OFFICER,LAKEFRONT / WATERFRONT / RIVERBANK,1
OBSCENITY,GOVERNMENT BUILDING / PROPERTY,1
GAMBLING,FIRE STATION,1
OFFENSE INVOLVING CHILDREN,VEHICLE - COMMERCIAL,1
PROSTITUTION,HOSPITAL BUILDING / GROUNDS,1
ARSON,SCHOOL - PRIVATE GROUNDS,1
OBSCENITY,FIRE STATION,1
CONCEALED CARRY LICENSE VIOLATION,SCHOOL - PUBLIC GROUNDS,1
CRIMINAL SEXUAL ASSAULT,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,1
BURGLARY,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,1
NON-CRIMINAL,AIRPORT PARKING LOT,1
PUBLIC INDECENCY,APARTMENT,1
INTERFERENCE WITH PUBLIC OFFICER,HIGHWAY / EXPRESSWAY,1
INTERFERENCE WITH PUBLIC OFFICER,MEDICAL/DENTAL OFFICE,1
OTHER NARCOTIC VIOLATION,CTA STATION,1
CRIMINAL SEXUAL ASSAULT,JAIL / LOCK-UP FACILITY,1
STALKING,VACANT LOT / LAND,1
KIDNAPPING,BOWLING ALLEY,1
PROSTITUTION,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,1
NON-CRIMINAL,VEHICLE - OTHER RIDE SERVICE,1
CONCEALED CARRY LICENSE VIOLATION,SCHOOL - PRIVATE GROUNDS,1
BURGLARY,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,1
NON-CRIMINAL,CTA PLATFORM,1
LIQUOR LAW VIOLATION,PARKING LOT / GARAGE (NON RESIDENTIAL),1
SEX OFFENSE,VEHICLE-COMMERCIAL - TROLLEY BUS,1
WEAPONS VIOLATION,NEWSSTAND,1
MOTOR VEHICLE THEFT,VEHICLE-COMMERCIAL - ENTERTAINMENT/PARTY BUS,1
OBSCENITY,MEDICAL / DENTAL OFFICE,1
CONCEALED CARRY LICENSE VIOLATION,HOSPITAL BUILDING / GROUNDS,1
INTIMIDATION,CLEANING STORE,1
THEFT,HORSE STABLE,1
HOMICIDE,FUNERAL PARLOR,1
MOTOR VEHICLE THEFT,CHA HALLWAY/STAIRWELL/ELEVATOR,1
INTERFERENCE WITH PUBLIC OFFICER,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,1
ROBBERY,BOAT / WATERCRAFT,1
OTHER NARCOTIC VIOLATION,"SCHOOL, PRIVATE, BUILDING",1
DECEPTIVE PRACTICE,VEHICLE - COMMERCIAL: ENTERTAINMENT / PARTY BUS,1
ARSON,CREDIT UNION,1
OBSCENITY,HOTEL/MOTEL,1
MOTOR VEHICLE THEFT,COLLEGE / UNIVERSITY - GROUNDS,1
PUBLIC INDECENCY,ABANDONED BUILDING,1
INTIMIDATION,MOVIE HOUSE / THEATER,1
OBSCENITY,PARKING LOT/GARAGE(NON.RESID.),1
CRIM SEXUAL ASSAULT,CEMETARY,1
CONCEALED CARRY LICENSE VIOLATION,AIRPORT EXTERIOR - NON-SECURE AREA,1
BURGLARY,COLLEGE / UNIVERSITY - RESIDENCE HALL,1
INTERFERENCE WITH PUBLIC OFFICER,AUTO / BOAT / RV DEALERSHIP,1
CRIMINAL TRESPASS,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",1
OBSCENITY,RESIDENCE - PORCH / HALLWAY,1
PROSTITUTION,NURSING / RETIREMENT HOME,1
PUBLIC INDECENCY,GAS STATION,1
HOMICIDE,LAGOON,1
INTERFERENCE WITH PUBLIC OFFICER,ATM (AUTOMATIC TELLER MACHINE),1
WEAPONS VIOLATION,MOVIE HOUSE / THEATER,1
GAMBLING,FEDERAL BUILDING,1
WEAPONS VIOLATION,AIRPORT VENDING ESTABLISHMENT,1
LIQUOR LAW VIOLATION,BRIDGE,1
CONCEALED CARRY LICENSE VIOLATION,HIGHWAY / EXPRESSWAY,1
INTIMIDATION,AIRPORT EXTERIOR - NON-SECURE AREA,1
STALKING,CLEANING STORE,1
CONCEALED CARRY LICENSE VIOLATION,DEPARTMENT STORE,1
SEX OFFENSE,SPORTS ARENA / STADIUM,1
CRIMINAL SEXUAL ASSAULT,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,1
INTERFERENCE WITH PUBLIC OFFICER,SAVINGS AND LOAN,1
ARSON,MOVIE HOUSE / THEATER,1
OBSCENITY,AUTO / BOAT / RV DEALERSHIP,1
INTERFERENCE WITH PUBLIC OFFICER,WAREHOUSE,1
STALKING,TAXICAB,1
ASSAULT,VEHICLE - COMMERCIAL: ENTERTAINMENT / PARTY BUS,1
STALKING,OTHER RAILROAD PROPERTY / TRAIN DEPOT,1
OFFENSE INVOLVING CHILDREN,DELIVERY TRUCK,1
KIDNAPPING,HIGHWAY/EXPRESSWAY,1
STALKING,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,1
LIQUOR LAW VIOLATION,CONSTRUCTION SITE,1
ARSON,BRIDGE,1
HUMAN TRAFFICKING,BAR OR TAVERN,1
NON - CRIMINAL,GOVERNMENT BUILDING/PROPERTY,1
CRIM SEXUAL ASSAULT,,1
LIQUOR LAW VIOLATION,NURSING HOME/RETIREMENT HOME,1
THEFT,VEHICLE-COMMERCIAL - TROLLEY BUS,1
CONCEALED CARRY LICENSE VIOLATION,AIRPORT PARKING LOT,1
STALKING,FEDERAL BUILDING,1
HOMICIDE,BAR OR TAVERN,1
OBSCENITY,GROCERY FOOD STORE,1
LIQUOR LAW VIOLATION,SPORTS ARENA / STADIUM,1
PROSTITUTION,OTHER COMMERCIAL TRANSPORTATION,1
KIDNAPPING,ATHLETIC CLUB,1
OFFENSE INVOLVING CHILDREN,PAWN SHOP,1
CRIM SEXUAL ASSAULT,FIRE STATION,1
OTHER NARCOTIC VIOLATION,TAXICAB,1
CRIM SEXUAL ASSAULT,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,1
OTHER NARCOTIC VIOLATION,CONSTRUCTION SITE,1
SEX OFFENSE,VACANT LOT / LAND,1
OFFENSE INVOLVING CHILDREN,FOREST PRESERVE,1
STALKING,COIN OPERATED MACHINE,1
NON-CRIMINAL,BANK,1
OBSCENITY,RESIDENCE - GARAGE,1
OBSCENITY,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,1
NON - CRIMINAL,VEHICLE NON-COMMERCIAL,1
CRIMINAL TRESPASS,KENNEL,1
MOTOR VEHICLE THEFT,BOAT/WATERCRAFT,1
NON-CRIMINAL,PARKING LOT/GARAGE(NON.RESID.),1
NARCOTICS,LAKEFRONT / WATERFRONT / RIVERBANK,1
INTIMIDATION,ANIMAL HOSPITAL,1
MOTOR VEHICLE THEFT,NEWSSTAND,1
CRIMINAL SEXUAL ASSAULT,DEPARTMENT STORE,1
HOMICIDE,BEACH,1
HUMAN TRAFFICKING,BARBERSHOP,1
OBSCENITY,VACANT LOT/LAND,1
ARSON,COLLEGE/UNIVERSITY RESIDENCE HALL,1
CRIMINAL DAMAGE,VEHICLE - COMMERCIAL: ENTERTAINMENT / PARTY BUS,1
LIQUOR LAW VIOLATION,CTA PARKING LOT / GARAGE / OTHER PROPERTY,1
PUBLIC INDECENCY,OTHER (SPECIFY),1
BURGLARY,"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",1
SEX OFFENSE,BOWLING ALLEY,1
CRIMINAL TRESPASS,VEHICLE - COMMERCIAL: TROLLEY BUS,1
HUMAN TRAFFICKING,VEHICLE NON-COMMERCIAL,1
NON-CRIMINAL,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,1
PUBLIC INDECENCY,BARBERSHOP,1
KIDNAPPING,MEDICAL / DENTAL OFFICE,1
LIQUOR LAW VIOLATION,RESIDENCE - YARD (FRONT / BACK),1
PUBLIC PEACE VIOLATION,AIRPORT TRANSPORTATION SYSTEM (ATS),1
BURGLARY,VEHICLE - OTHER RIDE SERVICE,1
NON-CRIMINAL,COMMERCIAL / BUSINESS OFFICE,1
RITUALISM,SMALL RETAIL STORE,1
INTERFERENCE WITH PUBLIC OFFICER,CEMETARY,1
MOTOR VEHICLE THEFT,ATM (AUTOMATIC TELLER MACHINE),1
OBSCENITY,DRIVEWAY - RESIDENTIAL,1
PROSTITUTION,CTA TRAIN,1
PUBLIC INDECENCY,CTA STATION,1
